"Principe actif";"Forme galénique";"Classe ATC";"Libellé ATC3";"Libellé ATC4";"Goût";"Modalités de préparation";"Source des modalités";"Autre source";"Méthode d'administration si médicament écrasé, ouvert ou délité";"Alternatives galéniques";"Informations RCP, notice patient et Thériaque";"Réponses laboratoires résumées";"Date de màj";
"NARATRIPTAN 2,5 mg (Naramig)";"Comprimé";"N02CC02";"Antimigraineux";"Agonistes sélectifs des récepteurs 5-HT1";;"NE";"RCP";;;"Non";"A prendre pendant la crise de migraine uniquement, de préférence le plus tôt possible.";"GSK 15-02-2022 : cf RCP";"18/04/2023";
"NEBIVOLOL 5 mg (Temerit)";"Comprimé sécable";"C07AB12";"Bêta-bloquants";"Bêta-bloquants sélectifs";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";;"Menarini 14-02-2022 : non-écrasable car pas d'étude.";"18/04/2023";
"NEFOPAM 30mg (générique)";"Comprimé";"N02BG06";"Autres analgésiques et antipyrétiques";"Autres analgésiques et antipyrétiques";;"NE";"RCP";;;"Non";;"Panpharma 18-06-2024 : écrasement déconseillé car pas d'étude";"24/06/2024";
"NEVIRAPINE 200 mg (Viramune)";"Comprimé";"J05AG01";"Antiviraux à action directe";"Inhibiteurs de la transcriptase inverse non nucléosidique";;"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Suspension buvable";;"Boehringer Ingelheim 24-02-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"NEVIRAPINE LP 100 et 400 mg (génériques)";"Comprimé LP";"J05AG01";"Antiviraux à action directe";"Inhibiteurs de la transcriptase inverse non nucléosidique";;"NE";"RCP";;;"? Non LP ?
Suspension buvable";;;"18/04/2023";
"NICARDIPINE 20 mg (Loxen)";"Comprimé sécable";"C08CA04";"Inhibiteurs calciques sélectifs à effets vasculaires";"Dérivés de la dihydropyridine";;"NE";"Notice patient";;;"Non";"A prendre avant les repas. Eviter le jus de pamplemousse.";"Laboratoire XO 14-02-2022 : écrasement déconseillé en l'absence de données";"18/04/2023";
"NICARDIPINE LP 50 mg (Loxen LP)";"Gélule LP";"C08CA04";"Inhibiteurs calciques sélectifs à effets vasculaires";"Dérivés de la dihydropyridine";;"NO";"RCP";;;"Non";"A prendre avant les repas. Eviter le jus de pamplemousse.";"Laboratoire XO 14-02-2022 : écrasement déconseillé en l'absence de données";"18/04/2023";
"NICORANDIL 10 et 20 mg (Ikorel)";"Comprimé ou comprimé sécable";"C01DX16";"Vasodilatateurs utilisés dans les maladies cardiaques";"Autres vasodilatateurs utilisés dans les maladies cardiaques";;"NE";"Réponse laboratoire";;;"Non";"Administration immédiate.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"NICOTINAMIDE 500 mg (Nicobion)";"Comprimé";"A11HA01";"Autres préparations à base de vitamines seules";"Autres préparations à base de vitamines seules";"G";"NE";"Notice patient";"Ecrasable selon HUG 03/2023";;"Non";;"Teofarma 08-03-2022 : écrasement déconseillé car pas d'étude. Photosensible.";"18/04/2023";
"NIFEDIPINE LP 20 et 30 mg (génériques)";"Comprimé LP";"C08CA05";"Inhibiteurs calciques sélectifs à effets vasculaires";"Dérivés de la dihydropyridine";;"NE";"RCP";;;"Non";"Eviter le jus de pamplemousse.";"En attente (génériques)";"18/04/2023";
"NILOTINIB 50, 150 et 200 mg (Tasigna)";"Gélule";"L01XE08";"Autres antinéoplasiques";"Inhibiteurs de protéine kinase";;"O";"RCP";;"C, V";"Non";"A prendre ? 2h après et ? 1h avant les repas. La gélule peut être vidée dans une cuillère à café de compote de pomme uniquement, pour administration immédiate. Eviter le jus de pamplemousse.";"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"NILUTAMIDE 50 et 150 (Anandron)";"Comprimé";"L02BB02";"Antihormones et apparentés";"Anti-androgènes";;"NE";"Réponse laboratoire";;;"Non";;"Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"NIMODIPINE 30 mg (Nimotop)";"Comprimé";"C08CA06";"Inhibiteurs calciques sélectifs à effets vasculaires";"Dérivés de la dihydropyridine";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"Eviter le jus de pamplemousse.";"Bayer 21-02-2022 : écrasement déconseillé car photosensible.";"18/04/2023";
"NINTEDANIB 100 et 150 mg (Ofev)";"Capsule molle";"L01XE31";"Autres antinéoplasiques";"Inhibiteurs de protéine kinase";;"NO";"RCP";;;"Non";"A prendre à heure fixe pendant les repas.";"Boehringer Ingelheim 24-02-2022 : cf. RCP";"18/04/2023";
"NIRMATRELVIR / RITONAVIR 150/100  mg (Paxlovid)";"Comprimé";"J05AE30";"Antiviraux à action directe";"Inhibiteurs de protéase";;"NE";"RCP";;;"Non";;;"30/06/2023";
"NITRAZEPAM 5 mg (Mogadon)";"Comprimé sécable";"N05CD02";"Hypnotiques et sédatifs";"Dérivés des benzodiazépines";;"NE";"Réponse laboratoire";;;"Non";"A prendre avant le coucher.";"Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"NITRENDIPINE 10 et 20 mg (génériques)";"Comprimé";"C08CA08";"Inhibiteurs calciques sélectifs à effets vasculaires";"Dérivés de la dihydropyridine";;"NE";"RCP";;;"Non";"A prendre en fin de repas. Eviter le jus de pamplemousse.";"En attente (génériques)";"18/04/2023";
"NITROFURANTOINE 50 mg (Furadantine)";"Gélule";"J01XE01";"Autres antibactériens";"Dérivés du nitrofurane";;"NO";"Réponse laboratoire";;;"Solution buvable (AAC)";"A prendre de préférence pendant les repas.";"Teva 01-03-2022 : ouverture déconseillée car pas d'étude";"18/04/2023";
"NOMEGESTROL 5 mg (Lutenyl)";"Comprimé sécable";"G03DB04";"Progestatifs";"Dérivés pregnadiène";;"NE";"Réponse laboratoire";;;"Non";;"Theramex 17-02-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"NORETHANDROLONE 10 mg (Nilevar)";"Comprimé sécable";"A14AA09";"Stéroïdes anabolisants";"Dérivés de l'androstane";;"NE";"Notice patient";;;"Non";;;"18/04/2023";
"NORFLOXACINE 400 mg (génériques)";"Comprimé";"J01MA06";"Quinolones antibactériennes";"Fluoroquinolones";"G";"NE";"Réponse laboratoire";;;"Non";"Ne pas prendre avec un produit laitier.";"Arrow 15-03-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"OFLOXACINE 200 mg (Monoflocet, Oflocet)";"Comprimé sécable";"J01MA01";"Quinolones antibactériennes";"Fluoroquinolones";"G";"NE";"Réponse laboratoire";;;"Non";"Ne pas prendre de fer, d'antiacides ou de sucralfate 2h après la prise.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"OLANZAPINE 5, 7,5 et 10 mg (Zyprexa)";"Comprimé";"N05AH03";"Antipsychotiques";"Diazépines, oxazépines, thiazépines et oxépines";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Comprimés orodispersibles";"A prendre à heure fixe. PA irritant.";"Lilly 06-08-2020 : écrasement déconseillé car comprimé sensible à la lumière et à l'oxydation, et risque de majoration des EI";"18/04/2023";
"OLAPARIB 100, 150 mg (Lynparza)";"Comprimé";"L01XK01";"Autres antinéoplasiques";"Iinhibiteurs de poly (ADP-RIBOSE) polymerase (PARP) ";;"NE";"Réponse laboratoire";;;"Non";"Eviter le jus de pamplemousse.";"AstraZeneca 13-05-2022 : cf. RCP ";"18/04/2023";
"OLMESARTAN 10, 20 et 40 mg (Olmetec)";"Comprimé";"C09CA08";"Antagonistes de l'angiotensine II non associés";"Antagonistes de l'angiotensine II non associés";"G";"NE";"RCP";;;"Non";"A prendre à heure fixe.";;"19/09/2023";
"OMEPRAZOLE 10 et 20 mg (Mopral)";"Gélule GR";"A02BC01";"Médicaments pour ulcère peptidique et le reflux gastro-oesophagien";"Inhibiteurs de la pompe à protons";;"O, NE";"RCP";;"E, J, C, V";"Comprimés GR";"Les gélules peuvent être vidées dans de l'eau plate, un jus ou une compote. Administration immédiate (< 30 min).";"Cheplapharm 14-03-2022 : cf. RCP";"19/09/2023";
"OMEPRAZOLE 20 mg (Mopralpro)";"Comprimé GR";"A02BC01";"Médicaments pour ulcère peptidique et le reflux gastro-oesophagien";"Inhibiteurs de la pompe à protons";;"D";"RCP";;"E, J, C, V";"Gélules ouvrables";"Peut être dissout sans l'écraser dans de l'eau plate, un jus ou une compote. Administration immédiate (< 30 min).";;"18/04/2023";
"ONDANSETRON 4 et 8 mg (Zophren)";"Comprimé";"A04AA01";"Antiémétiques et antinauséeux";"Antagonistes de la sérotonine (5-HT3)";"G";"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Comprimés orodispersibles, sirop, suppositoire";;"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"ORNIDAZOLE 500 (Tiberal)";"Comprimé";"P01AB03";"Autres antibactériens";"Dérivés de l'imidazole";;"NE";"Réponse laboratoire";;;"Non";;"Serb 22-03-2022 : écrasement déconseillé car pas d'étude + photosensible.";"18/04/2023";
"OSELTAMIVIR 30, 45 et 75 mg (Tamiflu, Ebilfumin)";"Gélule";"J05AH02";"Antiviraux à action directe";"Inhibiteurs de la neuraminidase";"G";"O";"RCP";;"E, J, L, C, Y, V";"Poudre pour suspension buvable";"A mélanger à un liquide sucré (eau sucrée, chocolat liquide, sirop, coulis) pour masquer le goût. Administration immédiate.";;"18/04/2023";
"OXAZEPAM 10 et 50 mg (Seresta)";"Comprimé ou comprimé sécable";"N05BA04";"Anxiolytiques";"Dérivés des benzodiazépines";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";;"Neuraxpharm 22-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"OXCARBAZEPINE 150, 300 et 600 mg (Trileptal)";"Comprimé sécable";"N03AF02";"Antiépileptiques";"Dérivés du carboxamide";;"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Suspension buvable";"A prendre à heure fixe sauf mention contraire. Peut être cassé en deux pour être avalé plus facilement.";"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"OXETORONE 60 mg (Nocertone)";"Comprimé sécable";"N02CX06";"Antimigraineux";"Autres antimigraineux";"G";"NE";"Réponse laboratoire";;;"Non";"A prendre de préférence avant les repas du soir et au coucher.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"OXYBUTYNINE 5 mg (Ditropan)";"Comprimé sécable";"G04BD04";"Autres médicaments urologiques, antispasmodiques inclus";"Antispasmodiques urinaires";"G";"NE";"Réponse laboratoire";;;"Sirop (AAC)";"A prendre à jeun, ou si douleurs gastriques pendant les repas ou avec du lait.";"Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude. Mauvais goût.";"18/04/2023";
"OXYCODONE 5, 10 et 20 mg (Oxynorm)";"Gélule";"N02AA05";"Opioïdes";"Alcaloïdes naturels de l'opium";;"NE";"Réponse laboratoire";;;"Comprimés orodispersibles, solution buvable";"Eviter le jus de pamplemousse.";"Mundipharma 24-04-2023 : écrasement déconseillé car pas d'étude";"24/04/2023";
"OXYCODONE LP 5, 10, 15, 20, 30, 40, 60, 80 et 120 mg (Oxycontin LP)";"Comprimé LP";"N02AA05";"Opioïdes";"Alcaloïdes naturels de l'opium";;"NE";"RCP";;;"? Non LP ?
Comprimés orodispersibles, solution buvable";"Risque de surdosage si écrasement. Eviter le jus de pamplemousse.";"Mundipharma 03-08-2020 : écrasement déconseillé car pas d'étude";"18/04/2023";
"PANCREATINE 10, 12,5 ; 25 et 40 kU (Creon)";"Gélule GR";"A09AA02";"Digestifs, y compris les enzymes";"Enzymes";;"O, NE";"RCP";;"E, J, L, C, Y, V";"Granulés GR";"Peut être vidé dans un aliment acide semi-solide (compote, yaourt) ou liquide (jus de fruit, lait). Administration immédiate. Ne pas croquer ni garder en bouche le mélange.";;"19/09/2023";
"PANTOPRAZOLE 20 et 40 mg (Eupantol, Inipomp)";"Comprimé GR";"A02BC02";"Médicaments pour ulcère peptidique et le reflux gastro-oesophagien";"Inhibiteurs de la pompe à protons";;"NE";"RCP";;;"Non";"A prendre 1h avant les repas.";;"19/09/2023";
"PARACETAMOL / CODEINE 300/25, 400/20, 400/25, 500/30 et 600/50 mg (Codoliprane, Dafalgan codeine, Klipal codeine, Lindilane)";"Comprimé sécable";"N02BE51";"Autres analgésiques et antipyrétiques";"Anilides";"G";"NE";"RCP";;;"Comprimés effervescents";;"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"PARACETAMOL / CODEINE 500/30 mg (Codoliprane)";"Gélule";"N02BE51";"Opioïdes";"Alcaloïdes naturels de l'opium";"G";"NO";"RCP";;;"Comprimés effervescents";;;"18/04/2023";
"PARACETAMOL / OPIUM ± CAFEINE 300/10/30 et 500/25 mg (Lamaline, Izalgi)";"Gélule";"N02BE51";"Autres analgésiques et antipyrétiques";"Anilides";"G";"NO";"RCP";;;"Suppositoires";;;"18/04/2023";
"PARACETAMOL / PSEUDOEPHEDRINE / DIPHENHYDRAMINE 500/60/25 mg (Actifed rhume jour & nuit)
PARACETAMOL / PSEUDOEPHEDRINE / TRIPROLIDINE 500/60/2,5 mg (Actifed rhume)";"Comprimé";"R01BA52";"Décongestionnants nasaux à usage systémique";"Sympathomimétiques";"G";"NE";"Notice patient";;;"Non";;;"18/04/2023";
"PARACETAMOL / TRAMADOL 37,5/325 mg (Ixprim)";"Comprimé";"N02AJ13";"Opioïdes";"Autres opioïdes";"G";"NE";"RCP";;;"Comprimés effervescents";;;"18/04/2023";
"PARACETAMOL 500 et 1000 mg (Dafalgan, Doliprane)";"Gélule";"N02BE01";"Autres analgésiques et antipyrétiques";"Anilides";"G";"NO";"Réponse laboratoire";;;"Comprimés effervescents, suppositoires";;"UPSA 30-01-2025 : pas d'opposition galénique mais pas d'étude de bioéquivalence entre l’administration de la gélule entière et son contenu.";"31/01/2025";
"PARACETAMOL 500 et 1000 mg (Dafalgan, Doliprane)";"Comprimé";"N02BE01";"Autres analgésiques et antipyrétiques";"Anilides";"G";"NE";"Réponse laboratoire";"Dafalgan : Ecrasable selon HUG 03/2023";;"Comprimés effervescents, suppositoires";;"UPSA 30-01-2025 : pas d'opposition galénique mais pas d'étude de bioéquivalence entre l’administration du comprimé entier et son contenu.";"31/01/2025";
"PAROXETINE 20 mg (Deroxat)";"Comprimé sécable";"N06AB05";"Antidépresseurs";"Inhibiteurs sélectifs de la recapture de la sérotonine (ISRS)";"G";"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Non";"A prendre le matin pendant les repas pour réduire le risque de nausées.";"GSK 02-10-2020 : écrasement déconseillé car pas de données. Mauvais goût et photosensible.";"30/06/2023";
"PAZOPANIB 200 et 400 mg (Votrient)";"Comprimé";" L01EX03";"Autres antinéoplasiques";"Inhibiteurs de protéine kinase";;"NE";"RCP";;;"Solution buvable (AAC)";"A prendre ? 1h avant ou ? 2h après les repas. Eviter le jus de pamplemousse.";"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"PENICILLAMINE 300 mg (Trolovol)";"Comprimé";"M01CC01";"Antirhumatismaux specifiques";"Pénicillamine et analogues";;"NE";"Réponse laboratoire";;;"Non";"A prendre 1h avant les repas chez l'enfant dans certaines indications (cf. RCP).";"Laboratoire XO 14-02-2022 : écrasement déconseillé en l'absence de données. Comprimé non-sécable malgré la barrette de cassure.";"18/04/2023";
"PENTOXIFYLLINE LP 400 mg (génériques)";"Comprimé LP";"C04AD03";"Vasodilatateurs péripheriques";"Dérivés de la purine";;"NE";"RCP";;;"Non";"A prendre de préférence pendant les repas.";"En attente (génériques)";"18/04/2023";
"PERAMPANEL 2, 4, 6, 8, 10 et 12 mg (Fycompa)";"Comprimé";"N03AX22";"Antiépileptiques";"Autres antiépileptiques";;"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Suspension buvable";"A prendre au coucher.";;"18/04/2023";
"PERINDOPRIL / INDAPAMIDE 2,5/0,625 ; 4/1,25 ; 5/1,25 ; 8/2,5 et 10/2,5 (Preterax, Bipreterax)";"Comprimé";"C09BA04";"Inhibiteurs de l'enzyme de conversion de l'angiotensine en associations";"Inhibiteurs de l'enzyme de conversion de l'angiotensine et diurétiques";;"NE";"Réponse laboratoire";;;"Non";"A prendre avant les repas, de préférence le matin.";"Servier 28-02-2022 : broyage déconseillé car pas d'étude";"18/04/2023";
"PERINDOPRIL 2,5 ; 5 et 10 mg (Coversyl)";"Comprimé";"C09AA04";"Inhibiteurs de l'enzyme de conversion de l'angiotensine (IEC), sauf associations";"Inhibiteurs de l'enzyme de conversion de l'angiotensine sans association";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"A prendre avant les repas, de préférence le matin.";"Servier 28-02-2022 : broyage déconseillé car pas d'étude";"18/04/2023";
"PHENOBARBITAL 10, 50 et 100 mg (Gardenal)";"Comprimé";"N03AA02";"Antiépileptiques";"Barbituriques et dérivés";;"E";"RCP";;"C, Y";"Non";"A prendre le soir au coucher. Peut être écrasé et mélangé à l'alimentation.";;"18/04/2023";
"PHENOBARBITAL 15, 50, 100 et 150 mg (Alepsal)";"Comprimé";"N03AA02";"Antiépileptiques";"Barbituriques et dérivés";;"E";"RCP";;"C, Y";"Non";"A prendre le soir au coucher. Peut être écrasé et mélangé à l'alimentation.";;"19/09/2023";
"PHENOXYMETHYLPENICILLINE 1 M UI (Oracilline)";"Comprimé sécable";"J01CE02";"Antibactériens bêta-lactamines et pénicillines";"Pénicillines sensibles aux bêta-lactamases";;"E";"Réponse laboratoire";;"E, J, L, C, V";"Suspension buvable";;"UCB Pharma 24-02-2022 : écrasement et mélange possible dans un liquide sucré ou de la compote. Administration immédiate.";"18/04/2023";
"PHENYLBUTYRATE 500 mg (Ammonaps)";"Comprimé";"A16AX03";"Autres produits pour les voies digestives et le métabolisme";"Produits divers pour le tube digestif et le métabolisme";"G";"NE";"Réponse laboratoire";;;"Granulés, liquide oral";"A prendre pendant les repas.";"Immedica 16-02-2022 : non écrasable car pas de données. Mauvais goût. Privilégier les alternatives.";"18/04/2023";
"PHENYTOÏNE 100 mg (Di-hydan)";"Comprimé sécable";"N03AB02";"Antiépileptiques";"Hydantoïne et dérivés";;"E";"RCP";;;"Suspension buvable (AAC)";"A prendre de préférence 1h avant les repas avec ½ verre d'eau, ou en cas d'irritation gastrique pendant les repas.";;"18/04/2023";
"PHENYTOÏNE 100 mg (Diphante)";"Comprimé sécable";"N03AB02";"Antiépileptiques";"Hydantoïne et dérivés";;"NE";"RCP";;;"Suspension buvable (AAC)";"A prendre de préférence 1h avant les repas avec ½ verre d'eau, ou en cas d'irritation gastrique pendant les repas.";;"18/04/2023";
"PHLOROGLUCINOL / SIMETICONE 80/125 mg (Meteoxane)";"Gélule";"A03AX";"Médicaments en cas de troubles fonctionnels gastro-intestinaux";"Autres médicaments en cas de troubles fonctionnels du côlon";;"NO";"Réponse laboratoire";;;"Comprimés orodispersibles (? Phloroglucinol seul)";"A prendre avant les repas ou au moment des douleurs.";"Alfasigma 08-04-2022 : ouverture déconseillée car pas d'étude.";"18/04/2023";
"PHLOROGLUCINOL 80 mg (Spasfon)";"Comprimé";"A03AX12";"Médicaments contre les désoredres fonctionnels gastro-intestinaux";"Autres médicaments contre les désordres fonctionnels gastro-intestinaux";;"NE";"Réponse laboratoire";;;"Comprimés orodispersibles, suppositoires";;"Teva 01-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"PIMOZIDE 1 et 4 mg (Orap)";"Comprimé ou comprimé sécable";"N05AG02";"Antipsychotiques";"Dérivés de la diphénylbutylpipéridine";;"NE";"Notice patient";;;"Non";"A prendre le soir. Eviter le jus de pamplemousse.";"Eumedica 02-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"PINAVERIUM 50 et 100 mg (Dicetel)";"Comprimé";"A03AX04";"Médicaments en cas de troubles fonctionnels gastro-intestinaux";"Autres médicaments en cas de troubles fonctionnels du côlon";;"NE";"RCP";;;"Non";"PA irritant pour l'œsophage. Les comprimés doivent être ingérés sans les croquer, ni les sucer, avec un grand verre d'eau au milieu des repas. Ne pas prendre en étant allongé ou avant le coucher.";"Viatris 17-02-2023 : Ne pas écraser les comprimés sauf si administration par sonde gastrique.";"18/04/2023";
"PINDOLOL 5 et 15 mg (Visken, Visken Quinze)";"Comprimé";"C07AA03";"Bêta-bloquants";"Bêta-bloquants non sélectifs";;"NE";"Notice patient";;;"Non";;"En attente (Centre de Specialites Pharmaceutiques)";"19/09/2023";
"PIPAMPERONE 40 mg (Dipiperon)";"Comprimé sécable";"N05AD05";"Antipsychotiques";"Dérivés de la butyrophénone";;"NE";"Thériaque 03/2023";"Ecrasable selon HUG 03/2023";;"Solution buvable";"A prendre de préférence au diner ou au coucher.";;"18/04/2023";
